project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,pci6,status
A12-FA,,gas_extraction_area,,,Netherlands,operating,2007,,1.68,million boe/y,point,55.394,3.795,,https://www.gem.wiki/A12-FA_Gas_Field_(Netherlands),,,operating
A18-FA,,gas_extraction_area,Petrogas E&P Netherlands B.V.;TAQA Offshore B.V.;ONE-Dyas B.V.,Petrogas E&P LLC;TAQA (Abu Dhabi National Energy Company PJSC);ONE-Dyas B.V.,Netherlands,operating,2015,,4.04,million boe/y,point,55.117,3.832,,https://www.gem.wiki/A18-FA_Gas_Field_(Netherlands),,,operating
Aasta Hansteen,,gas_extraction_area,Equinor Energy AS (51%);Wintershall DEA Norge AS (24%);OMV (Norge) AS (15%);ConocoPhillips Skandinavia AS (10%),Equinor ASA (51%);BASF SE (24%);OMV Aktiengesellschaft (15%);ConocoPhillips (10%),Norway,operating,2018,,51.50,million boe/y,point,67.061,6.9882,,https://www.gem.wiki/Aasta_Hansteen_Oil_and_Gas_Field_(Norway),,,operating
Achmelvich,,gas_extraction_area,BP (52.6%);Shell (28%);Chevron (19.4%),BP P.L.C. (52.6%);Shell plc (28%);Chevron Corporation (19.4%),United Kingdom,discovered,,,,,point,56.772,1.682,,https://www.gem.wiki/Achmelvich_Oil_Field,,,proposed_plus
Aitingen,,gas_extraction_area,,,Germany,operating,,,0.25,million boe/y,point,51.614,10.101,,https://www.gem.wiki/Aitingen_Oil_and_Gas_Field_(Germany),,,operating
Alba,,gas_extraction_area,Ithaca Energy (23.4%);Endeavour Energy UK Limited (25.7%);Verus Petroleum (SNS) Limited (17%);Mitsui E&P UK Limited (13.3%);other (20.7%),"Delek Group Limited (23.4%);Waldorf Production UK Limited (25.7%);Verus Petroleum Holding Limited (17%);Mitsui & Co., Ltd. (13.3%)",United Kingdom,operating,1994,,3.91,million boe/y,point,58.04,1.1076,,https://www.gem.wiki/Alba_Oil_and_Gas_Field_(United_Kingdom),,,operating
Alder,,gas_extraction_area,,,United Kingdom,operating,2016,,2.58,million boe/y,point,58.097,0.70705,,https://www.gem.wiki/Alder_Oil_and_Gas_Field_(United_Kingdom),,,operating
Aleksandrówka,,gas_extraction_area,,,Poland,operating,,,0.06,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Aleksandrówka_Gas_Field_(Poland),,,operating
Alfeld-Elze/Hildesheimer-Wald,,gas_extraction_area,,,Germany,operating,1972,,0.19,million boe/y,point,52.136,9.744,,https://www.gem.wiki/Alfeld-ElzeHildesheimerWald_Gas_Field_(Germany),,,operating
Algyo,,gas_extraction_area,,,Hungary,operating,,,,,point,46.333,20.25,,https://www.gem.wiki/Algyo_Oil_and_Gas_Field_(Hungary),,,operating
Alma,,gas_extraction_area,,,United Kingdom,operating,2015,,1.10,million boe/y,point,56.183,2.7827,,https://www.gem.wiki/Alma_Oil_and_Gas_Field_(United_Kingdom),,,operating
Alvheim,,gas_extraction_area,Aker BP ASA (65%);ConocoPhillips Skandinavia AS (20%);Lundin Energy Norway AS (15%),Aker (26%);BP (19.5%);Other (19.5%);ConocoPhillips (20%);Lundin Energy AB (15%),Norway,operating,2008,,18.55,million boe/y,point,59.547,2.0172,,https://www.gem.wiki/Alvheim_Oil_and_Gas_Field_(Norway),,,operating
Alwyn North,,gas_extraction_area,TotalEnergies E&P UK (100%),TotalEnergies (100%),United Kingdom,operating,,,4.55,million boe/y,point,60.799,1.743,,https://www.gem.wiki/Alwyn_North_Oil_and_Gas_Field_(United_Kingdom),,,operating
Ameland-Oost,,gas_extraction_area,Nederlandse Aardolie Maatschappij B.V. (100%),Shell plc (100%),Netherlands,operating,1986,,1.03,million boe/y,point,53.47,5.914,,https://www.gem.wiki/Ameland-Oost_Oil_and_Gas_Field_(Netherlands),,,operating
Ameland-Westgat,,gas_extraction_area,,,Netherlands,operating,1993,,0.39,million boe/y,point,53.501,5.933,,https://www.gem.wiki/Ameland-Westgat_Oil_and_Gas_Field_(Netherlands),,,operating
